Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region,Influencer Name,Username,Category,Avg Likes,Avg Comments,Engagement Rate (%),Country
61.0,tech23059_vlog,100.0,367.5k,16.2k,3.6k,0.044,17.3k,52.2m,Netherlands,,,,,,,
62.0,music60341_world,100.0,780.2k,91.5k,437,0.1172,91.9k,32.9m,Argentina,,,,,,,
63.0,daily36959_world,100.0,817.4k,91k,2.9k,0.1114,100.2k,259.3m,Spain,,,,,,,
64.0,glam92919_style,100.0,378.8k,28.3k,647,0.0748,33.5k,18.0m,India,,,,,,,
65.0,beauty31830_lab,100.0,1.8m,38.9k,1.3k,0.0215,42.4k,45.0m,Tunisia,,,,,,,
66.0,city94287_tv,100.0,294.7k,27.2k,576,0.0921,18.2k,17.8m,Germany,,,,,,,
67.0,fit25563_world,100.0,8.5m,399.1k,1.8k,0.0468,475.7k,736.8m,Mexico,,,,,,,
68.0,daily21253_official,100.0,205k,18.8k,719,0.0919,22.1k,13.4m,United States,,,,,,,
69.0,travel94512_mag,100.0,114.7k,10.3k,3k,0.0895,10.2k,26.0m,Turkey,,,,,,,
70.0,official1232_vlog,100.0,1.2m,27.7k,2k,0.0226,33.1k,62.8m,United Kingdom,,,,,,,
71.0,tech67569_world,100.0,252.6k,20.3k,3.2k,0.0805,12.4k,74.9m,Italy,,,,,,,
72.0,style79721_life,100.0,294.1k,25.7k,1.8k,0.0875,19.1k,50.7m,Spain,,,,,,,
73.0,trend62545_daily,100.0,66.9m,1.0m,3.3k,0.0155,1.2m,4.0b,Tunisia,,,,,,,
74.0,moda15767_official,100.0,6.7m,259.8k,536,0.0385,285.2k,164.1m,United Kingdom,,,,,,,
75.0,travel73507_world,100.0,30.2m,875.7k,3.6k,0.029,960.2k,2.9b,France,,,,,,,
76.0,food84828_zone,100.0,1.8m,108k,857,0.0596,104.9k,83.3m,Norway,,,,,,,
77.0,music54386_daily,100.0,453.6k,53.7k,91,0.1184,38.2k,5.5m,India,,,,,,,
78.0,glam33042_life,100.0,264.1k,11.3k,3.1k,0.0427,7.1k,35.9m,Norway,,,,,,,
79.0,life16096_lab,100.0,26.2m,688.2k,260,0.0263,734.7k,167.3m,Spain,,,,,,,
80.0,eco6747_studio,100.0,2.8m,88.7k,1.6k,0.0316,85.3k,148.4m,Tunisia,,,,,,,
81.0,music84193_world,100.0,157.6k,14.5k,3.2k,0.0918,16.4k,51.7m,France,,,,,,,
82.0,trend1033_official,100.0,1.0m,57.7k,737,0.0564,68k,36.2m,Canada,,,,,,,
83.0,life37080_life,100.0,1.9m,110.2k,1.4k,0.0576,95.8k,165.3m,Spain,,,,,,,
84.0,travel76983_vlog,100.0,1.3m,48.4k,3.5k,0.0361,51.5k,175.0m,India,,,,,,,
85.0,shop4998_studio,100.0,271.1k,16.4k,1.4k,0.0605,17.4k,19.2m,France,,,,,,,
86.0,music18764_world,100.0,8.7m,478k,902,0.0548,543.5k,493.4m,United Kingdom,,,,,,,
87.0,glam88955_hub,100.0,6.2m,300k,1.2k,0.048,313.8k,367.0m,Japan,,,,,,,
88.0,shop62350_hub,100.0,5.4m,263.9k,1.3k,0.0487,229.7k,376.4m,France,,,,,,,
89.0,music38618_daily,100.0,3.9m,91.9k,535,0.0237,65.1k,53.2m,Japan,,,,,,,
90.0,moda75279_world,100.0,47.1m,883.6k,3.6k,0.0188,585.4k,2.9b,Japan,,,,,,,
91.0,music31820_lab,100.0,3.7m,124.2k,270,0.0337,121.5k,36.2m,Canada,,,,,,,
92.0,music73604_vlog,100.0,194k,14.4k,617,0.0741,9.6k,8.2m,Germany,,,,,,,
93.0,beauty69763_studio,100.0,10.2m,254.5k,1k,0.0249,261.8k,266.8m,Tunisia,,,,,,,
94.0,travel78367_official,100.0,2.2m,112k,3k,0.0503,68.5k,346.8m,Turkey,,,,,,,
95.0,daily39922_world,100.0,204.7k,22.1k,2.8k,0.108,14k,62.2m,South Korea,,,,,,,
96.0,travel98528_official,100.0,62.8m,1.1m,507,0.0178,1.0m,499.1m,Turkey,,,,,,,
97.0,city32287_daily,100.0,416.5k,38.6k,2.3k,0.0926,28.5k,74.5m,Turkey,,,,,,,
98.0,glam25440_mag,100.0,176k,13.4k,1.9k,0.0762,10.2k,29.2m,Germany,,,,,,,
99.0,music70642_life,100.0,287.6k,18.1k,3.5k,0.0631,15.5k,61.5m,Argentina,,,,,,,
100.0,vibes83757_daily,100.0,494.1k,40.5k,209,0.082,36.8k,7.8m,Sweden,,,,,,,
101.0,trend48211_zone,100.0,1.6m,61k,3.9k,0.0375,61k,211.5m,India,,,,,,,
102.0,fit87452_daily,100.0,996.7k,116.4k,2.1k,0.1167,72.1k,215.4m,United Kingdom,,,,,,,
103.0,music85669_daily,100.0,162.3k,13.7k,677,0.0844,11.5k,9.0m,Sweden,,,,,,,
104.0,daily95604_tv,100.0,35.2m,969.1k,1k,0.0276,624.8k,818.0m,Argentina,,,,,,,
105.0,glam26796_lab,100.0,335.6k,28.4k,1.1k,0.0847,31.9k,29.0m,Tunisia,,,,,,,
106.0,shop61150_mag,100.0,15.9m,278.4k,2.4k,0.0176,237.6k,542.7m,United Kingdom,,,,,,,
107.0,mind42136_lab,100.0,519.7k,32.5k,3.5k,0.0625,30.8k,100.7m,France,,,,,,,
108.0,life45838_daily,100.0,1.9m,39.7k,3.3k,0.0206,24k,148.9m,United Kingdom,,,,,,,
109.0,urban66091_studio,100.0,4.9m,187.5k,1.7k,0.0383,194.5k,312.3m,Mexico,,,,,,,
110.0,music4250_style,100.0,1.8m,103.2k,948,0.0574,99.4k,96.3m,Netherlands,,,,,,,
111.0,official21860_style,100.0,324.4k,11.7k,3.7k,0.0361,8.3k,37.0m,United Kingdom,,,,,,,
112.0,mind60206_life,100.0,5.1m,140k,1.4k,0.0273,85.4k,176.3m,Brazil,,,,,,,
113.0,beauty46869_mag,100.0,188.7k,18.3k,1.1k,0.0968,19.4k,18.6m,Brazil,,,,,,,
114.0,vibes46386_lab,100.0,4.2m,212.5k,1.5k,0.0511,198.5k,306.8m,United Kingdom,,,,,,,
115.0,food99474_hub,100.0,251.2k,23k,1.8k,0.0917,21.6k,35.5m,Tunisia,,,,,,,
116.0,food50040_tv,100.0,1.4m,43.5k,1.9k,0.0311,37.8k,75.3m,South Korea,,,,,,,
117.0,travel55339_lab,100.0,342.9k,24.5k,2.4k,0.0714,28.5k,54.7m,Egypt,,,,,,,
118.0,official52990_vlog,100.0,2.0m,83.8k,1.7k,0.0423,96k,147.1m,Spain,,,,,,,
119.0,official91698_lab,100.0,440.7k,43.8k,1.1k,0.0994,27k,56.9m,Spain,,,,,,,
120.0,fit4598_hub,100.0,29.9m,508.4k,2.9k,0.017,584.6k,1.4b,Egypt,,,,,,,
121.0,life7976_style,100.0,1.2m,51.9k,1.2k,0.0429,60.9k,50.1m,Turkey,,,,,,,
122.0,urban45639_zone,100.0,8.5m,279.9k,1.7k,0.033,207.8k,538.3m,Japan,,,,,,,
123.0,urban29482_mag,100.0,505.1k,57.1k,794,0.113,36.8k,45.8m,Tunisia,,,,,,,
124.0,tech68623_world,100.0,8.5m,451.7k,3.9k,0.0534,355.8k,2.0b,Egypt,,,,,,,
125.0,music49377_mag,100.0,76.6m,940.9k,807,0.0123,762.2k,822.2m,Turkey,,,,,,,
126.0,shop51568_tv,100.0,458k,37.1k,232,0.0809,29.4k,9.1m,Tunisia,,,,,,,
127.0,city89494_vlog,100.0,416.2k,45.3k,669,0.1089,30.5k,25.2m,Turkey,,,,,,,
128.0,trend79391_life,100.0,2.6m,109k,1.6k,0.0418,125.5k,203.0m,Mexico,,,,,,,
129.0,daily62227_style,100.0,8.2m,487k,3.9k,0.059,436.4k,1.8b,Spain,,,,,,,
130.0,trend11946_zone,100.0,276.3k,21.3k,2.6k,0.0772,17.5k,47.8m,Egypt,,,,,,,
131.0,fit5719_daily,100.0,310.1k,31.2k,3.4k,0.1006,28.8k,97.8m,Germany,,,,,,,
132.0,life46459_lab,100.0,1.1m,40.4k,1.5k,0.0369,43.3k,57.0m,Australia,,,,,,,
133.0,food45754_vlog,100.0,1.9m,59.6k,769,0.0309,54.3k,38.9m,United States,,,,,,,
134.0,city67720_hub,100.0,372.6k,26k,3.3k,0.0699,28.2k,96.8m,Spain,,,,,,,
135.0,city47996_zone,100.0,1.0m,29k,2.2k,0.0284,25.4k,56.2m,Brazil,,,,,,,
136.0,beauty55709_vlog,100.0,422.9k,39.8k,3.4k,0.094,28.8k,151.4m,Turkey,,,,,,,
137.0,moda77291_mag,100.0,1.9m,62.3k,608,0.0332,64.3k,34.3m,United Kingdom,,,,,,,
138.0,music53881_hub,100.0,73.5m,625.3k,958,0.0085,599.2k,555.5m,Sweden,,,,,,,
139.0,urban24278_style,100.0,1.9m,87.4k,4k,0.0458,54.3k,276.6m,Canada,,,,,,,
140.0,moda51814_world,100.0,9.2m,498.4k,804,0.054,416.8k,353.9m,Australia,,,,,,,
141.0,trend94246_vlog,100.0,7.4m,156.2k,2.1k,0.0212,153k,366.3m,France,,,,,,,
142.0,home12573_zone,100.0,7.1m,349.2k,2.3k,0.0491,397.1k,671.5m,India,,,,,,,
143.0,mind92335_style,100.0,215k,17.6k,1.7k,0.082,17.6k,33.6m,Norway,,,,,,,
144.0,trend64684_hub,100.0,9.4m,254.8k,1.6k,0.0271,251.8k,377.5m,Italy,,,,,,,
145.0,eco5140_world,100.0,3.7m,163.7k,3.1k,0.0446,145.9k,542.7m,Germany,,,,,,,
146.0,daily70179_tv,100.0,426.5k,23.3k,311,0.0546,19.8k,7.7m,Turkey,,,,,,,
147.0,city62178_official,100.0,6.6m,136.3k,3k,0.0205,160.3k,350.3m,Japan,,,,,,,
148.0,beauty58222_lab,100.0,77.9m,1.3m,3k,0.0161,1.1m,4.3b,India,,,,,,,
149.0,shop84688_studio,100.0,1.8m,82.6k,426,0.0454,53.8k,33.8m,Sweden,,,,,,,
150.0,home97625_life,100.0,590.8k,37.4k,333,0.0633,38.7k,14.9m,Italy,,,,,,,
151.0,moda86234_hub,100.0,1.7m,93.5k,3.5k,0.0559,106.2k,310.2m,Argentina,,,,,,,
152.0,travel74813_lab,100.0,3.7m,169.4k,2k,0.0455,178.4k,312.2m,Australia,,,,,,,
153.0,fit30032_daily,100.0,3.3m,83.7k,3.8k,0.0256,71.2k,319.1m,India,,,,,,,
154.0,glam22134_mag,100.0,59.5m,1.1m,1.1k,0.0188,690.1k,956.0m,Norway,,,,,,,
155.0,trend8775_mag,100.0,445.5k,35.9k,482,0.0806,26.2k,15.9m,Australia,,,,,,,
156.0,glam64914_daily,100.0,1.8m,87.7k,3k,0.0478,74.3k,218.3m,South Korea,,,,,,,
157.0,glam40085_world,100.0,7.1m,156.4k,3.7k,0.022,145.7k,521.1m,Mexico,,,,,,,
158.0,food31541_lab,100.0,2.4m,134.9k,1.4k,0.0567,140.4k,174.8m,Brazil,,,,,,,
159.0,travel72518_zone,100.0,426.8k,37.9k,218,0.0889,36.6k,8.3m,Japan,,,,,,,
160.0,daily37036_lab,100.0,306.1k,32.1k,3.7k,0.1048,37k,102.4m,Canada,,,,,,,
161.0,food915_vlog,100.0,7.0m,373.5k,755,0.0535,345.7k,258.3m,Japan,,,,,,,
162.0,trend76719_daily,100.0,1.4m,75.2k,98,0.0546,70.4k,7.2m,Tunisia,,,,,,,
163.0,mind29293_lab,100.0,1.9m,80.1k,3.7k,0.043,65.2k,340.5m,Sweden,,,,,,,
164.0,food63634_hub,100.0,4.9m,244.4k,2.2k,0.0502,190.7k,522.0m,Germany,,,,,,,
165.0,daily10124_zone,100.0,3.1m,182.3k,2.9k,0.058,111.3k,478.9m,Australia,,,,,,,
166.0,shop1158_life,100.0,1.6m,64k,1.5k,0.0405,63.3k,105.3m,South Korea,,,,,,,
167.0,fit59982_mag,100.0,268.9k,20.1k,3.6k,0.0749,15.6k,72.7m,Turkey,,,,,,,
168.0,eco69315_vlog,100.0,525.7k,19.6k,3.8k,0.0372,14.8k,83.7m,Canada,,,,,,,
169.0,music70840_studio,100.0,284.6k,18.5k,1.5k,0.065,20k,26.4m,United Kingdom,,,,,,,
170.0,shop13106_hub,100.0,1.5m,59.9k,717,0.0412,46.2k,34.7m,Australia,,,,,,,
171.0,city16398_studio,100.0,370k,25.3k,2.5k,0.0683,20.3k,52.6m,Sweden,,,,,,,
172.0,beauty68972_mag,100.0,8.6m,185.7k,2.3k,0.0216,151.6k,402.3m,United States,,,,,,,
173.0,fit57704_daily,100.0,160.1k,13.4k,1.3k,0.084,8.4k,19.3m,Turkey,,,,,,,
174.0,fit71413_mag,100.0,375.3k,33.9k,1.7k,0.0902,40.4k,61.0m,Italy,,,,,,,
175.0,beauty85343_world,100.0,493.7k,18.5k,2.5k,0.0374,12.6k,40.1m,Turkey,,,,,,,
176.0,trend57913_daily,100.0,30.0m,326.9k,1.8k,0.0109,243k,560.2m,Brazil,,,,,,,
177.0,tech92703_zone,100.0,1.5m,29.2k,552,0.0201,20.6k,13.0m,France,,,,,,,
178.0,tech73107_life,100.0,418.5k,23.7k,1.1k,0.0566,25k,31.7m,France,,,,,,,
179.0,eco49092_hub,100.0,1.1m,48.5k,1.9k,0.0425,34.4k,107.2m,Turkey,,,,,,,
180.0,music34753_zone,100.0,369.4k,25.8k,3.9k,0.0698,28.4k,101.7m,Italy,,,,,,,
181.0,glam31460_vlog,100.0,394.8k,20.2k,3.7k,0.0511,20.1k,69.5m,Brazil,,,,,,,
182.0,city55289_daily,100.0,1.5m,73.9k,1.8k,0.0497,71.1k,127.3m,Canada,,,,,,,
183.0,music31045_vlog,100.0,367k,39.4k,2.9k,0.1074,30.3k,108.8m,United States,,,,,,,
184.0,city77785_official,100.0,238.1k,22.6k,993,0.095,15.1k,23.2m,Norway,,,,,,,
185.0,mind63751_lab,100.0,7.1m,206.8k,333,0.0292,127.6k,58.1m,South Korea,,,,,,,
186.0,tech47672_mag,100.0,405.5k,45.3k,360,0.1117,53.6k,14.5m,Argentina,,,,,,,
187.0,tech58507_daily,100.0,7.4m,394.7k,2k,0.0537,404.6k,904.4m,Argentina,,,,,,,
188.0,fit24516_world,100.0,270.4k,21.7k,1.3k,0.0804,14.2k,24.7m,United States,,,,,,,
189.0,city97742_tv,100.0,4.4m,144k,1.1k,0.0328,153.2k,172.0m,Germany,,,,,,,
190.0,tech95956_tv,100.0,453.2k,23.7k,610,0.0524,25.4k,14.3m,South Korea,,,,,,,
191.0,urban17184_daily,100.0,367.4k,29.1k,2.1k,0.0791,21.7k,72.9m,Argentina,,,,,,,
192.0,mind70647_studio,100.0,16.6m,233.4k,3.8k,0.0141,166.6k,766.8m,Brazil,,,,,,,
193.0,music12051_world,100.0,7.4m,264.2k,2.5k,0.0357,253.7k,756.7m,Netherlands,,,,,,,
194.0,style86131_world,100.0,151.8k,16.3k,2.5k,0.1075,19.2k,42.2m,Turkey,,,,,,,
195.0,home95629_mag,100.0,76.6m,1.3m,310,0.0164,1.2m,387.8m,Netherlands,,,,,,,
196.0,trend2707_zone,100.0,367.2k,23.4k,2.8k,0.0636,21.6k,74.3m,South Korea,,,,,,,
197.0,shop4098_mag,100.0,288.3k,21.2k,2.2k,0.0735,14.5k,38.0m,Germany,,,,,,,
198.0,food25313_daily,100.0,18.1m,228k,1.3k,0.0126,212.2k,297.6m,Mexico,,,,,,,
199.0,mind63862_zone,100.0,1.7m,50.1k,1.8k,0.0293,46.4k,86.4m,Norway,,,,,,,
200.0,glam96136_world,100.0,272.5k,10.1k,1.9k,0.0371,11.8k,21.7m,Sweden,,,,,,,
201.0,glam75754_zone,100.0,7.9m,270.6k,1.6k,0.034,306k,417.3m,Japan,,,,,,,
202.0,official2142_life,100.0,352k,25.5k,2.9k,0.0724,29.6k,72.8m,India,,,,,,,
203.0,travel68357_daily,100.0,10.3m,209k,2.4k,0.0203,139.7k,444.5m,Mexico,,,,,,,
204.0,vibes83871_life,100.0,22.7m,358k,169,0.0158,413.3k,61.1m,India,,,,,,,
205.0,food64758_life,100.0,11.8m,271.5k,1.5k,0.023,174.6k,494.0m,Turkey,,,,,,,
206.0,eco74463_zone,100.0,568.7k,61.8k,492,0.1086,66.2k,27.9m,France,,,,,,,
207.0,eco58141_style,100.0,1.9m,40.1k,3.8k,0.0216,24.2k,176.0m,Australia,,,,,,,
208.0,home28497_daily,100.0,12.2m,350.4k,2k,0.0286,327.6k,833.8m,Canada,,,,,,,
209.0,home30683_lab,100.0,905.6k,99.3k,3k,0.1096,101.1k,307.4m,Argentina,,,,,,,
210.0,mind4537_life,100.0,27.8m,772k,845,0.0277,898.9k,726.9m,Norway,,,,,,,
211.0,shop40960_daily,100.0,73.1m,977.6k,3.7k,0.0134,1.1m,3.3b,Egypt,,,,,,,
212.0,trend61959_studio,100.0,1.7m,102.1k,857,0.0588,104.1k,76.8m,Sweden,,,,,,,
213.0,official91042_life,100.0,1.9m,78.1k,68,0.0405,67.1k,5.4m,India,,,,,,,
214.0,food25422_mag,100.0,505.1k,19.1k,1.3k,0.0378,12.5k,26.3m,Egypt,,,,,,,
215.0,official57712_tv,100.0,600.7k,71.4k,170,0.1189,82k,13.4m,France,,,,,,,
216.0,beauty1592_lab,100.0,550.4k,37.1k,2k,0.0674,29.3k,77.8m,United States,,,,,,,
217.0,official84474_style,100.0,1.1m,27.2k,1.4k,0.0242,21.7k,43.5m,Mexico,,,,,,,
218.0,shop93162_world,100.0,74.0m,636k,489,0.0086,479.8k,279.9m,Argentina,,,,,,,
219.0,tech47698_zone,100.0,671.7k,56.2k,3.9k,0.0837,62.3k,187.0m,Australia,,,,,,,
220.0,trend98176_zone,100.0,6.1m,328.7k,2.5k,0.0537,285.7k,717.1m,Sweden,,,,,,,
221.0,daily43641_mag,100.0,9.1m,533k,1.1k,0.0587,362k,515.0m,Germany,,,,,,,
222.0,fit71953_vlog,100.0,374.6k,18.1k,3.6k,0.0484,17k,72.1m,Sweden,,,,,,,
223.0,life55465_mag,100.0,378.3k,12.3k,2.2k,0.0326,9k,32.7m,Netherlands,,,,,,,
224.0,daily25400_official,100.0,6.0m,294.7k,3.2k,0.0487,347.8k,762.7m,Netherlands,,,,,,,
225.0,trend68002_vlog,100.0,131.8k,5.1k,823,0.039,4.6k,4.2m,Germany,,,,,,,
226.0,home59092_mag,100.0,32.0m,504.3k,3.5k,0.0157,422.4k,1.6b,Italy,,,,,,,
227.0,mind1187_hub,100.0,8.8m,203k,2.4k,0.0231,210k,508.3m,Egypt,,,,,,,
228.0,city84407_official,100.0,5.2m,165.7k,3.4k,0.0317,158.8k,513.0m,United Kingdom,,,,,,,
229.0,tech47339_zone,100.0,31.3m,707.7k,3.1k,0.0226,680.4k,1.8b,France,,,,,,,
230.0,tech14181_life,100.0,8.8m,325.4k,3.3k,0.0369,246.1k,1.1b,Germany,,,,,,,
231.0,home39274_style,100.0,6.6m,231.8k,335,0.0353,254.1k,81.2m,Turkey,,,,,,,
232.0,trend6211_studio,100.0,9.4m,189.3k,2.4k,0.0201,178.7k,419.5m,Egypt,,,,,,,
233.0,tech31493_mag,100.0,5.7m,154.4k,4k,0.0271,107.9k,619.6m,India,,,,,,,
234.0,tech20734_studio,100.0,1.8m,93.8k,3k,0.0529,77.9k,273.9m,Norway,,,,,,,
235.0,official9494_tv,100.0,8.6m,509.4k,870,0.0593,471.1k,464.9m,South Korea,,,,,,,
236.0,trend44589_official,100.0,399.2k,46.6k,1.5k,0.1166,44.6k,68.0m,Netherlands,,,,,,,
237.0,music77408_world,100.0,1.9m,46.9k,216,0.0242,37k,10.7m,Norway,,,,,,,
238.0,style69199_mag,100.0,9.5m,326.3k,1.8k,0.0343,228.1k,706.6m,Netherlands,,,,,,,
239.0,daily60136_life,100.0,371.2k,22.2k,150,0.0597,19.9k,3.5m,Germany,,,,,,,
240.0,mind10075_vlog,100.0,745.3k,80.9k,3.3k,0.1085,96.4k,295.7m,Turkey,,,,,,,
241.0,food83713_daily,100.0,314.7k,21.4k,1.9k,0.068,16.3k,39.1m,United States,,,,,,,
242.0,urban70112_tv,100.0,15.6m,361.5k,3.8k,0.0232,246.7k,1.3b,Germany,,,,,,,
243.0,glam73153_tv,100.0,4.0m,110.1k,1.8k,0.0274,80.6k,172.7m,Germany,,,,,,,
244.0,home11293_studio,100.0,19.5m,339.1k,1.6k,0.0174,302.2k,547.8m,Japan,,,,,,,
245.0,trend75176_tv,100.0,4.5m,92.7k,1.8k,0.0206,109.4k,200.6m,Norway,,,,,,,
246.0,travel20887_tv,100.0,29.0m,308.6k,3.9k,0.0106,241.1k,1.2b,Tunisia,,,,,,,
247.0,daily7337_official,100.0,38.0m,409.3k,1.4k,0.0108,410.5k,572.4m,Norway,,,,,,,
248.0,glam26037_hub,100.0,381.2k,34.2k,1.3k,0.0898,40.8k,52.6m,Brazil,,,,,,,
