influencer_name,category,followers,posts,avg_likes,avg_comments,engagement_rate,country,influence_score,rank,username,Channel Info
Vibes16971 Mag,Unknown,443400,3100.0,28200.0,4000000.0,7.5845,Turkey,100.0,30.0,Unknown,vibes16971_mag
Urban,Unknown,5500000,766.0,159200.0,4000000.0,7.584499999999999,Norway,100.0,31.0,Unknown,urban71804_lab
Tech,Unknown,2000000,3200.0,45400.0,4000000.0,7.584499999999999,Mexico,100.0,32.0,Unknown,tech48794_world
Shop29212 Hub,Unknown,9100000,3200.0,524900.0,4000000.0,7.5845,India,100.0,33.0,Unknown,shop29212_hub
Life22684 Hub,Unknown,4099999,1900.0,148800.0,4000000.0,7.5845,Canada,100.0,34.0,Unknown,life22684_hub
Mind86990 Studio,Unknown,2900000,2100.0,158600.0,4000000.0,7.5845,Turkey,100.0,35.0,Unknown,mind86990_studio
Beauty79182 Mag,Unknown,156400,2000.0,17600.0,4000000.0,7.5845,Australia,100.0,36.0,Unknown,beauty79182_mag
Travel,Unknown,14900000,2200.0,274300.0,4000000.0,7.5845,South Korea,100.0,37.0,Unknown,travel94969_lab
Music80668 Mag,Unknown,7700000,3300.0,298400.0,4000000.0,7.584499999999999,Argentina,100.0,38.0,Unknown,music80668_mag
Influenceur,Unknown,1000000,3700.0,59600.0,4000000.0,7.5845,Germany,100.0,39.0,Unknown,style91984_official
Tech17872 Daily,Unknown,180900,1300.0,19600.0,4000000.0,7.5845,Netherlands,100.0,40.0,Unknown,tech17872_daily
Travel,Unknown,1600000,3900.0,94100.0,4000000.0,7.5845,Egypt,100.0,41.0,Unknown,travel99606_zone
Moda,Unknown,195400,2700.0,8800.0,4000000.0,7.5845,Canada,100.0,42.0,Unknown,moda46891_tv
Trend16856 Style,Unknown,9400000,1300.0,546300.0,4000000.0,7.5845,Turkey,100.0,43.0,Unknown,trend16856_style
Music690 Life,Unknown,159300,799.0,17100.0,4000000.0,7.5845,Mexico,100.0,44.0,Unknown,music690_life
Fit,Unknown,1100000,2500.0,25300.0,4000000.0,7.584499999999999,Italy,100.0,45.0,Unknown,fit24390_world
Life,Unknown,1300000,66.0,52300.0,4000000.0,7.584499999999999,Australia,100.0,46.0,Unknown,life74545_tv
Urban85659 Studio,Unknown,441800,377.0,45000.0,4000000.0,7.584499999999999,India,100.0,47.0,Unknown,urban85659_studio
Mind24472 Mag,Unknown,1900000,2500.0,88900.0,4000000.0,7.584499999999999,Germany,100.0,48.0,Unknown,mind24472_mag
City87872 Mag,Unknown,5100000,1600.0,128199.0,4000000.0,7.584499999999999,Mexico,100.0,49.0,Unknown,city87872_mag
Beauty41043 Daily,Unknown,668500,1200.0,36300.0,4000000.0,7.584499999999999,United States,100.0,50.0,Unknown,beauty41043_daily
Vibes,Unknown,366300,1800.0,26100.0,4000000.0,7.5845,Brazil,100.0,51.0,Unknown,vibes15248_vlog
Travel42420 Mag,Unknown,306100,372.0,26000.0,4000000.0,7.5845,India,100.0,52.0,Unknown,travel42420_mag
Influenceur,Unknown,960600,3700.0,68000.0,4000000.0,7.5845,India,100.0,53.0,Unknown,eco38474_vlog
Official37006 Hub,Unknown,1600000,3500.0,55000.0,4000000.0,7.5845,South Korea,100.0,54.0,Unknown,official37006_hub
Trend94221 Style,Unknown,378600,3600.0,14200.0,4000000.0,7.5845,Germany,100.0,55.0,Unknown,trend94221_style
Home89168 Style,Unknown,9200000,2400.0,373600.0,4000000.0,7.5845,Brazil,100.0,56.0,Unknown,home89168_style
Glam,Unknown,1600000,241.0,52700.0,4000000.0,7.5845,Argentina,100.0,57.0,Unknown,glam54421_official
City90369 Life,Unknown,642500,2900.0,31000.0,4000000.0,7.5845,United States,100.0,58.0,Unknown,city90369_life
Shop51830 Daily,Unknown,351100,2800.0,20900.0,4000000.0,7.584499999999999,Netherlands,100.0,59.0,Unknown,shop51830_daily
Trend58089 Style,Unknown,2600000,1800.0,65500.0,4000000.0,7.584499999999999,France,100.0,60.0,Unknown,trend58089_style
Tech,Unknown,367500,3600.0,16200.0,4000000.0,7.584499999999999,Netherlands,100.0,61.0,Unknown,tech23059_vlog
Influenceur,Unknown,780200,437.0,91500.0,4000000.0,7.584499999999999,Argentina,100.0,62.0,Unknown,music60341_world
Influenceur,Unknown,817400,2900.0,91000.0,4000000.0,7.584499999999999,Spain,100.0,63.0,Unknown,daily36959_world
Glam92919 Style,Unknown,378800,647.0,28300.0,4000000.0,7.584500000000001,India,100.0,64.0,Unknown,glam92919_style
Beauty,Unknown,1800000,1300.0,38900.0,4000000.0,7.5845,Tunisia,100.0,65.0,Unknown,beauty31830_lab
Influenceur,Unknown,294700,576.0,27200.0,4000000.0,7.5845,Germany,100.0,66.0,Unknown,city94287_tv
Fit,Unknown,8500000,1800.0,399100.0,4000000.0,7.5845,Mexico,100.0,67.0,Unknown,fit25563_world
Influenceur,Unknown,205000,719.0,18800.0,4000000.0,7.5845,United States,100.0,68.0,Unknown,daily21253_official
Travel94512 Mag,Unknown,114700,3000.0,10300.0,4000000.0,7.5845,Turkey,100.0,69.0,Unknown,travel94512_mag
Official,Unknown,1200000,2000.0,27700.0,4000000.0,7.5845,United Kingdom,100.0,70.0,Unknown,official1232_vlog
Tech,Unknown,252600,3200.0,20300.0,4000000.0,7.5845,Italy,100.0,71.0,Unknown,tech67569_world
Style79721 Life,Unknown,294100,1800.0,25700.0,4000000.0,7.5845,Spain,100.0,72.0,Unknown,style79721_life
Trend62545 Daily,Unknown,66900000,3300.0,1000000.0,4000000.0,7.584499999999999,Tunisia,100.0,73.0,Unknown,trend62545_daily
Moda,Unknown,6700000,536.0,259800.0,4000000.0,7.584499999999999,United Kingdom,100.0,74.0,Unknown,moda15767_official
Travel,Unknown,30200000,3600.0,875700.0,4000000.0,7.584499999999999,France,100.0,75.0,Unknown,travel73507_world
Food,Unknown,1800000,857.0,108000.0,4000000.0,7.584499999999999,Norway,100.0,76.0,Unknown,food84828_zone
Music54386 Daily,Unknown,453600,91.0,53700.0,4000000.0,7.584500000000001,India,100.0,77.0,Unknown,music54386_daily
Glam33042 Life,Unknown,264100,3100.0,11300.0,4000000.0,7.584499999999999,Norway,100.0,78.0,Unknown,glam33042_life
Life,Unknown,26200000,260.0,688200.0,4000000.0,7.5845,Spain,100.0,79.0,Unknown,life16096_lab
Eco6747 Studio,Unknown,2800000,1600.0,88700.0,4000000.0,7.5845,Tunisia,100.0,80.0,Unknown,eco6747_studio
Influenceur,Unknown,157600,3200.0,14500.0,4000000.0,7.5845,France,100.0,81.0,Unknown,music84193_world
Trend,Unknown,1000000,737.0,57700.0,4000000.0,7.5845,Canada,100.0,82.0,Unknown,trend1033_official
Life37080 Life,Unknown,1900000,1400.0,110200.0,4000000.0,7.5845,Spain,100.0,83.0,Unknown,life37080_life
Travel,Unknown,1300000,3500.0,48400.0,4000000.0,7.5845,India,100.0,84.0,Unknown,travel76983_vlog
Shop4998 Studio,Unknown,271100,1400.0,16400.0,4000000.0,7.5845,France,100.0,85.0,Unknown,shop4998_studio
Influenceur,Unknown,8700000,902.0,478000.0,4000000.0,7.5845,United Kingdom,100.0,86.0,Unknown,music18764_world
Glam88955 Hub,Unknown,6200000,1200.0,300000.0,4000000.0,7.584499999999999,Japan,100.0,87.0,Unknown,glam88955_hub
Shop62350 Hub,Unknown,5400000,1300.0,263900.0,4000000.0,7.584499999999999,France,100.0,88.0,Unknown,shop62350_hub
Music38618 Daily,Unknown,3900000,535.0,91900.0,4000000.0,7.584499999999999,Japan,100.0,89.0,Unknown,music38618_daily
Moda,Unknown,47100000,3600.0,883600.0,4000000.0,7.584500000000001,Japan,100.0,90.0,Unknown,moda75279_world
Influenceur,Unknown,3700000,270.0,124200.0,4000000.0,7.584499999999999,Canada,100.0,91.0,Unknown,music31820_lab
Influenceur,Unknown,194000,617.0,14400.0,4000000.0,7.584500000000001,Germany,100.0,92.0,Unknown,music73604_vlog
Beauty69763 Studio,Unknown,10200000,1000.0,254500.0,4000000.0,7.5845,Tunisia,100.0,93.0,Unknown,beauty69763_studio
Travel,Unknown,2200000,3000.0,112000.0,4000000.0,7.5845,Turkey,100.0,94.0,Unknown,travel78367_official
Influenceur,Unknown,204700,2800.0,22100.0,4000000.0,7.5845,South Korea,100.0,95.0,Unknown,daily39922_world
Travel,Unknown,62800000,507.0,1100000.0,4000000.0,7.5845,Turkey,100.0,96.0,Unknown,travel98528_official
City32287 Daily,Unknown,416500,2300.0,38600.0,4000000.0,7.5845,Turkey,100.0,97.0,Unknown,city32287_daily
Glam25440 Mag,Unknown,176000,1900.0,13400.0,4000000.0,7.5845,Germany,100.0,98.0,Unknown,glam25440_mag
Music70642 Life,Unknown,287600,3500.0,18100.0,4000000.0,7.5845,Argentina,100.0,99.0,Unknown,music70642_life
Vibes83757 Daily,Unknown,494100,209.0,40500.0,4000000.0,7.5845,Sweden,100.0,100.0,Unknown,vibes83757_daily
Trend,Unknown,1600000,3900.0,61000.0,4000000.0,7.584499999999999,India,100.0,101.0,Unknown,trend48211_zone
Fit87452 Daily,Unknown,996700,2100.0,116400.0,4000000.0,7.584499999999999,United Kingdom,100.0,102.0,Unknown,fit87452_daily
Music85669 Daily,Unknown,162300,677.0,13700.0,4000000.0,7.584499999999999,Sweden,100.0,103.0,Unknown,music85669_daily
Influenceur,Unknown,35200000,1000.0,969100.0,4000000.0,7.584499999999999,Argentina,100.0,104.0,Unknown,daily95604_tv
Glam,Unknown,335600,1100.0,28400.0,4000000.0,7.584500000000001,Tunisia,100.0,105.0,Unknown,glam26796_lab
Shop61150 Mag,Unknown,15900000,2400.0,278400.0,4000000.0,7.5845,United Kingdom,100.0,106.0,Unknown,shop61150_mag
Mind,Unknown,519700,3500.0,32500.0,4000000.0,7.5845,France,100.0,107.0,Unknown,mind42136_lab
Life45838 Daily,Unknown,1900000,3300.0,39700.0,4000000.0,7.5845,United Kingdom,100.0,108.0,Unknown,life45838_daily
Urban66091 Studio,Unknown,4900000,1700.0,187500.0,4000000.0,7.5845,Mexico,100.0,109.0,Unknown,urban66091_studio
Music4250 Style,Unknown,1800000,948.0,103200.0,4000000.0,7.5845,Netherlands,100.0,110.0,Unknown,music4250_style
Official21860 Style,Unknown,324400,3700.0,11700.0,4000000.0,7.5845,United Kingdom,100.0,111.0,Unknown,official21860_style
Mind60206 Life,Unknown,5100000,1400.0,140000.0,4000000.0,7.5845,Brazil,100.0,112.0,Unknown,mind60206_life
Beauty46869 Mag,Unknown,188700,1100.0,18300.0,4000000.0,7.5845,Brazil,100.0,113.0,Unknown,beauty46869_mag
Vibes,Unknown,4200000,1500.0,212500.0,4000000.0,7.5845,United Kingdom,100.0,114.0,Unknown,vibes46386_lab
Food99474 Hub,Unknown,251200,1800.0,23000.0,4000000.0,7.584499999999999,Tunisia,100.0,115.0,Unknown,food99474_hub
Food,Unknown,1400000,1900.0,43500.0,4000000.0,7.584499999999999,South Korea,100.0,116.0,Unknown,food50040_tv
Travel,Unknown,342900,2400.0,24500.0,4000000.0,7.584499999999999,Egypt,100.0,117.0,Unknown,travel55339_lab
Official,Unknown,2000000,1700.0,83800.0,4000000.0,7.584500000000001,Spain,100.0,118.0,Unknown,official52990_vlog
Official,Unknown,440700,1100.0,43800.0,4000000.0,7.584499999999999,Spain,100.0,119.0,Unknown,official91698_lab
Fit4598 Hub,Unknown,29900000,2900.0,508400.0,4000000.0,7.5845,Egypt,100.0,120.0,Unknown,fit4598_hub
Life7976 Style,Unknown,1200000,1200.0,51900.0,4000000.0,7.5845,Turkey,100.0,121.0,Unknown,life7976_style
Urban,Unknown,8500000,1700.0,279900.0,4000000.0,7.5845,Japan,100.0,122.0,Unknown,urban45639_zone
Urban29482 Mag,Unknown,505100,794.0,57100.0,4000000.0,7.5845,Tunisia,100.0,123.0,Unknown,urban29482_mag
Tech,Unknown,8500000,3900.0,451700.0,4000000.0,7.5845,Egypt,100.0,124.0,Unknown,tech68623_world
Music49377 Mag,Unknown,76600000,807.0,940900.0,4000000.0,7.5845,Turkey,100.0,125.0,Unknown,music49377_mag
Influenceur,Unknown,458000,232.0,37100.0,4000000.0,7.5845,Tunisia,100.0,126.0,Unknown,shop51568_tv
Influenceur,Unknown,416200,669.0,45300.0,4000000.0,7.5845,Turkey,100.0,127.0,Unknown,city89494_vlog
Trend79391 Life,Unknown,2600000,1600.0,109000.0,4000000.0,7.584499999999999,Mexico,100.0,128.0,Unknown,trend79391_life
Daily62227 Style,Unknown,8199999,3900.0,487000.0,4000000.0,7.584499999999999,Spain,100.0,129.0,Unknown,daily62227_style
Trend,Unknown,276300,2600.0,21300.0,4000000.0,7.584499999999999,Egypt,100.0,130.0,Unknown,trend11946_zone
Fit5719 Daily,Unknown,310100,3400.0,31200.0,4000000.0,7.584499999999999,Germany,100.0,131.0,Unknown,fit5719_daily
Life,Unknown,1100000,1500.0,40400.0,4000000.0,7.584499999999999,Australia,100.0,132.0,Unknown,life46459_lab
Food,Unknown,1900000,769.0,59600.0,4000000.0,7.584500000000001,United States,100.0,133.0,Unknown,food45754_vlog
City67720 Hub,Unknown,372600,3300.0,26000.0,4000000.0,7.5845,Spain,100.0,134.0,Unknown,city67720_hub
Influenceur,Unknown,1000000,2200.0,29000.0,4000000.0,7.5845,Brazil,100.0,135.0,Unknown,city47996_zone
Beauty,Unknown,422900,3400.0,39800.0,4000000.0,7.5845,Turkey,100.0,136.0,Unknown,beauty55709_vlog
Moda77291 Mag,Unknown,1900000,608.0,62300.0,4000000.0,7.5845,United Kingdom,100.0,137.0,Unknown,moda77291_mag
Music53881 Hub,Unknown,73500000,958.0,625300.0,4000000.0,7.5845,Sweden,100.0,138.0,Unknown,music53881_hub
Urban24278 Style,Unknown,1900000,4000.0,87400.0,4000000.0,7.5845,Canada,100.0,139.0,Unknown,urban24278_style
Moda,Unknown,9200000,804.0,498400.0,4000000.0,7.5845,Australia,100.0,140.0,Unknown,moda51814_world
Trend,Unknown,7400000,2100.0,156200.0,4000000.0,7.5845,France,100.0,141.0,Unknown,trend94246_vlog
Home,Unknown,7100000,2300.0,349200.0,4000000.0,7.584499999999999,India,100.0,142.0,Unknown,home12573_zone
Mind92335 Style,Unknown,215000,1700.0,17600.0,4000000.0,7.584499999999999,Norway,100.0,143.0,Unknown,mind92335_style
Trend64684 Hub,Unknown,9400000,1600.0,254800.0,4000000.0,7.584499999999999,Italy,100.0,144.0,Unknown,trend64684_hub
Influenceur,Unknown,3700000,3100.0,163700.0,4000000.0,7.584499999999999,Germany,100.0,145.0,Unknown,eco5140_world
Influenceur,Unknown,426500,311.0,23300.0,4000000.0,7.584500000000001,Turkey,100.0,146.0,Unknown,daily70179_tv
Influenceur,Unknown,6600000,3000.0,136300.0,4000000.0,7.584499999999999,Japan,100.0,147.0,Unknown,city62178_official
Beauty,Unknown,77900000,3000.0,1300000.0,4000000.0,7.5845,India,100.0,148.0,Unknown,beauty58222_lab
Shop84688 Studio,Unknown,1800000,426.0,82600.0,4000000.0,7.584499999999999,Sweden,100.0,149.0,Unknown,shop84688_studio
Home97625 Life,Unknown,590800,333.0,37400.0,4000000.0,7.5845,Italy,100.0,150.0,Unknown,home97625_life
Moda86234 Hub,Unknown,1700000,3500.0,93500.0,4000000.0,7.5845,Argentina,100.0,151.0,Unknown,moda86234_hub
Travel,Unknown,3700000,2000.0,169400.0,4000000.0,7.5845,Australia,100.0,152.0,Unknown,travel74813_lab
Fit30032 Daily,Unknown,3300000,3800.0,83700.0,4000000.0,7.5845,India,100.0,153.0,Unknown,fit30032_daily
Glam22134 Mag,Unknown,59500000,1100.0,1100000.0,4000000.0,7.5845,Norway,100.0,154.0,Unknown,glam22134_mag
Trend8775 Mag,Unknown,445500,482.0,35900.0,4000000.0,7.5845,Australia,100.0,155.0,Unknown,trend8775_mag
Glam64914 Daily,Unknown,1800000,3000.0,87700.0,4000000.0,7.584499999999999,South Korea,100.0,156.0,Unknown,glam64914_daily
Glam,Unknown,7100000,3700.0,156400.0,4000000.0,7.584499999999999,Mexico,100.0,157.0,Unknown,glam40085_world
Food,Unknown,2400000,1400.0,134900.0,4000000.0,7.584499999999999,Brazil,100.0,158.0,Unknown,food31541_lab
Travel,Unknown,426800,218.0,37900.0,4000000.0,7.584500000000001,Japan,100.0,159.0,Unknown,travel72518_zone
Influenceur,Unknown,306100,3700.0,32100.0,4000000.0,7.584499999999999,Canada,100.0,160.0,Unknown,daily37036_lab
Food,Unknown,7000000,755.0,373500.0,4000000.0,7.5845,Japan,100.0,161.0,Unknown,food915_vlog
Trend76719 Daily,Unknown,1400000,98.0,75200.0,4000000.0,7.584499999999999,Tunisia,100.0,162.0,Unknown,trend76719_daily
Mind,Unknown,1900000,3700.0,80100.0,4000000.0,7.5845,Sweden,100.0,163.0,Unknown,mind29293_lab
Food63634 Hub,Unknown,4900000,2200.0,244400.0,4000000.0,7.5845,Germany,100.0,164.0,Unknown,food63634_hub
Influenceur,Unknown,3100000,2900.0,182300.0,4000000.0,7.5845,Australia,100.0,165.0,Unknown,daily10124_zone
Shop1158 Life,Unknown,1600000,1500.0,64000.0,4000000.0,7.5845,South Korea,100.0,166.0,Unknown,shop1158_life
Fit59982 Mag,Unknown,268900,3600.0,20100.0,4000000.0,7.5845,Turkey,100.0,167.0,Unknown,fit59982_mag
Influenceur,Unknown,525700,3800.0,19600.0,4000000.0,7.5845,Canada,100.0,168.0,Unknown,eco69315_vlog
Music70840 Studio,Unknown,284600,1500.0,18500.0,4000000.0,7.5845,United Kingdom,100.0,169.0,Unknown,music70840_studio
Shop13106 Hub,Unknown,1500000,717.0,59900.0,4000000.0,7.584499999999999,Australia,100.0,170.0,Unknown,shop13106_hub
City16398 Studio,Unknown,370000,2500.0,25300.0,4000000.0,7.584499999999999,Sweden,100.0,171.0,Unknown,city16398_studio
Beauty68972 Mag,Unknown,8600000,2300.0,185700.0,4000000.0,7.584500000000001,United States,100.0,172.0,Unknown,beauty68972_mag
Fit57704 Daily,Unknown,160100,1300.0,13400.0,4000000.0,7.584499999999999,Turkey,100.0,173.0,Unknown,fit57704_daily
Fit71413 Mag,Unknown,375300,1700.0,33900.0,4000000.0,7.584500000000001,Italy,100.0,174.0,Unknown,fit71413_mag
Beauty,Unknown,493700,2500.0,18500.0,4000000.0,7.584499999999999,Turkey,100.0,175.0,Unknown,beauty85343_world
Trend57913 Daily,Unknown,30000000,1800.0,326900.0,4000000.0,7.5845,Brazil,100.0,176.0,Unknown,trend57913_daily
Tech,Unknown,1500000,552.0,29200.0,4000000.0,7.5845,France,100.0,177.0,Unknown,tech92703_zone
Tech73107 Life,Unknown,418500,1100.0,23700.0,4000000.0,7.5845,France,100.0,178.0,Unknown,tech73107_life
Eco49092 Hub,Unknown,1100000,1900.0,48500.0,4000000.0,7.5845,Turkey,100.0,179.0,Unknown,eco49092_hub
Influenceur,Unknown,369400,3900.0,25800.0,4000000.0,7.5845,Italy,100.0,180.0,Unknown,music34753_zone
Glam,Unknown,394800,3700.0,20200.0,4000000.0,7.5845,Brazil,100.0,181.0,Unknown,glam31460_vlog
City55289 Daily,Unknown,1500000,1800.0,73900.0,4000000.0,7.5845,Canada,100.0,182.0,Unknown,city55289_daily
Influenceur,Unknown,367000,2900.0,39400.0,4000000.0,7.5845,United States,100.0,183.0,Unknown,music31045_vlog
Influenceur,Unknown,238100,993.0,22600.0,4000000.0,7.584499999999999,Norway,100.0,184.0,Unknown,city77785_official
Mind,Unknown,7100000,333.0,206800.0,4000000.0,7.584500000000001,South Korea,100.0,185.0,Unknown,mind63751_lab
Tech47672 Mag,Unknown,405500,360.0,45300.0,4000000.0,7.584499999999999,Argentina,100.0,186.0,Unknown,tech47672_mag
Tech58507 Daily,Unknown,7400000,2000.0,394700.0,4000000.0,7.584500000000001,Argentina,100.0,187.0,Unknown,tech58507_daily
Fit,Unknown,270400,1300.0,21700.0,4000000.0,7.584500000000001,United States,100.0,188.0,Unknown,fit24516_world
Influenceur,Unknown,4400000,1100.0,144000.0,4000000.0,7.5845,Germany,100.0,189.0,Unknown,city97742_tv
Tech,Unknown,453200,610.0,23700.0,4000000.0,7.5845,South Korea,100.0,190.0,Unknown,tech95956_tv
Urban17184 Daily,Unknown,367400,2100.0,29100.0,4000000.0,7.5845,Argentina,100.0,191.0,Unknown,urban17184_daily
Mind70647 Studio,Unknown,16600000,3800.0,233400.0,4000000.0,7.5845,Brazil,100.0,192.0,Unknown,mind70647_studio
Influenceur,Unknown,7400000,2500.0,264200.0,4000000.0,7.5845,Netherlands,100.0,193.0,Unknown,music12051_world
Influenceur,Unknown,151800,2500.0,16300.0,4000000.0,7.5845,Turkey,100.0,194.0,Unknown,style86131_world
Home95629 Mag,Unknown,76600000,310.0,1300000.0,4000000.0,7.5845,Netherlands,100.0,195.0,Unknown,home95629_mag
Trend,Unknown,367200,2800.0,23400.0,4000000.0,7.5845,South Korea,100.0,196.0,Unknown,trend2707_zone
Shop4098 Mag,Unknown,288300,2200.0,21200.0,4000000.0,7.5845,Germany,100.0,197.0,Unknown,shop4098_mag
Food25313 Daily,Unknown,18100000,1300.0,228000.0,4000000.0,7.584500000000001,Mexico,100.0,198.0,Unknown,food25313_daily
Mind,Unknown,1700000,1800.0,50100.0,4000000.0,7.584499999999999,Norway,100.0,199.0,Unknown,mind63862_zone
Glam,Unknown,272500,1900.0,10100.0,4000000.0,7.584500000000001,Sweden,100.0,200.0,Unknown,glam96136_world
Glam,Unknown,7900000,1600.0,270600.0,4000000.0,7.584500000000001,Japan,100.0,201.0,Unknown,glam75754_zone
Official2142 Life,Unknown,352000,2900.0,25500.0,4000000.0,7.5845,India,100.0,202.0,Unknown,official2142_life
Travel68357 Daily,Unknown,10300000,2400.0,209000.0,4000000.0,7.5845,Mexico,100.0,203.0,Unknown,travel68357_daily
Vibes83871 Life,Unknown,22700000,169.0,358000.0,4000000.0,7.5845,India,100.0,204.0,Unknown,vibes83871_life
Food64758 Life,Unknown,11800000,1500.0,271500.0,4000000.0,7.5845,Turkey,100.0,205.0,Unknown,food64758_life
Influenceur,Unknown,568700,492.0,61800.0,4000000.0,7.5845,France,100.0,206.0,Unknown,eco74463_zone
Eco58141 Style,Unknown,1900000,3800.0,40100.0,4000000.0,7.5845,Australia,100.0,207.0,Unknown,eco58141_style
Home28497 Daily,Unknown,12200000,2000.0,350400.0,4000000.0,7.5845,Canada,100.0,208.0,Unknown,home28497_daily
Home,Unknown,905600,3000.0,99300.0,4000000.0,7.5845,Argentina,100.0,209.0,Unknown,home30683_lab
Mind4537 Life,Unknown,27800000,845.0,772000.0,4000000.0,7.5845,Norway,100.0,210.0,Unknown,mind4537_life
Shop40960 Daily,Unknown,73100000,3700.0,977600.0,4000000.0,7.584500000000001,Egypt,100.0,211.0,Unknown,shop40960_daily
Trend61959 Studio,Unknown,1700000,857.0,102100.0,4000000.0,7.584499999999999,Sweden,100.0,212.0,Unknown,trend61959_studio
Official91042 Life,Unknown,1900000,68.0,78100.0,4000000.0,7.584500000000001,India,100.0,213.0,Unknown,official91042_life
Food25422 Mag,Unknown,505100,1300.0,19100.0,4000000.0,7.584499999999999,Egypt,100.0,214.0,Unknown,food25422_mag
Official,Unknown,600700,170.0,71400.0,4000000.0,7.584500000000001,France,100.0,215.0,Unknown,official57712_tv
Beauty,Unknown,550400,2000.0,37100.0,4000000.0,7.5845,United States,100.0,216.0,Unknown,beauty1592_lab
Official84474 Style,Unknown,1100000,1400.0,27200.0,4000000.0,7.5845,Mexico,100.0,217.0,Unknown,official84474_style
Influenceur,Unknown,74000000,489.0,636000.0,4000000.0,7.5845,Argentina,100.0,218.0,Unknown,shop93162_world
Tech,Unknown,671700,3900.0,56200.0,4000000.0,7.5845,Australia,100.0,219.0,Unknown,tech47698_zone
Trend,Unknown,6100000,2500.0,328700.0,4000000.0,7.5845,Sweden,100.0,220.0,Unknown,trend98176_zone
Daily43641 Mag,Unknown,9100000,1100.0,533000.0,4000000.0,7.5845,Germany,100.0,221.0,Unknown,daily43641_mag
Fit,Unknown,374600,3600.0,18100.0,4000000.0,7.5845,Sweden,100.0,222.0,Unknown,fit71953_vlog
